experiment_id,source_clients,target_clients,split_protocol,model,checkpoint,DA,calibration,QC,seed,result_path,metrics,status,notes,code_commit,config_path,dataset_path,created_at,evidence_status,provenance,hypothesis_id,baseline_id,ablation_factor,expected_evidence,acceptance_criterion
FCL-E0-SHIFT,C1;C2,C3;C4;C5,timeaware_60_170_window_fullgrid,classification_TCN,P0A_round25,diagnostic_only,none,none,42,results/iotj_final_classification_le1_20260804/e0_domain_shift,domain_shift_tables;fig01,draft,calibration-only diagnostic; target test sealed,11cfbba,pending_implementation,dataset/client_data_c1234src_c5tgt_2080_timeaware_60_170_window_fullgrid,2026-08-04,draft,user_approved_design,FCL-H1,within_source,domain,nonzero discrepancy estimates,report fixed estimator result
FCL-E1-FEDAVG,C1;C2,C3;C4;C5,timeaware_60_170_window_fullgrid,classification_TCN,P0A_round25_sha256_4313c375,none,none,none,42,results/iotj_final_classification_le1_20260804/e1_fedavg,classification_metrics;source_retention;cost,draft,reuse source checkpoint; no source retraining,11cfbba,pending_implementation,dataset/client_data_c1234src_c5tgt_2080_timeaware_60_170_window_fullgrid,2026-08-04,draft,P0A_manifest_and_hash,FCL-H2,none,fl_algorithm,main baseline row,complete fixed-endpoint evaluation
FCL-E1-FEDPROX,C1;C2,C3;C4;C5,timeaware_60_170_window_fullgrid,classification_TCN,round25,none,none,none,42,results/iotj_final_classification_le1_20260804/e1_fedprox,classification_metrics;source_retention;cost,draft,Adam5e-4;mu0.01;LE1,11cfbba,pending_implementation,dataset/client_data_c1234src_c5tgt_2080_timeaware_60_170_window_fullgrid,2026-08-04,draft,user_approved_design,FCL-H2,FCL-E1-FEDAVG,fl_algorithm,algorithm-level delta,complete fixed-endpoint run
FCL-E1-SCAFFOLD,C1;C2,C3;C4;C5,timeaware_60_170_window_fullgrid,classification_TCN,round25,none,none,none,42,results/iotj_final_classification_le1_20260804/e1_scaffold,classification_metrics;source_retention;cost;control_state,draft,canonical SGD5e-4;no momentum;no search,11cfbba,pending_implementation,dataset/client_data_c1234src_c5tgt_2080_timeaware_60_170_window_fullgrid,2026-08-04,draft,user_approved_design,FCL-H2,FCL-E1-FEDAVG,fl_algorithm,algorithm-level delta,complete canonical tests and run
FCL-E2-CORAL-C3,C1;C2,C3,timeaware_60_170_window_fullgrid,classification_TCN,P0A_round25_sha256_4313c375,canonical_global_CORAL,x_only,none,42,results/iotj_final_classification_le1_20260804/e2_coral_c3,classification_metrics;adaptation_diagnostics,draft,100 steps;Adam5e-4;lambda0.5,11cfbba,pending_implementation,dataset/client_data_c1234src_c5tgt_2080_timeaware_60_170_window_fullgrid,2026-08-04,draft,user_approved_E2,FCL-H3,FCL-E1-FEDAVG,uda_objective,fixed-checkpoint target delta,pass label audit and step100 evaluation
FCL-E2-CORAL-C4,C1;C2,C4,timeaware_60_170_window_fullgrid,classification_TCN,P0A_round25_sha256_4313c375,canonical_global_CORAL,x_only,none,42,results/iotj_final_classification_le1_20260804/e2_coral_c4,classification_metrics;adaptation_diagnostics,draft,100 steps;Adam5e-4;lambda0.5,11cfbba,pending_implementation,dataset/client_data_c1234src_c5tgt_2080_timeaware_60_170_window_fullgrid,2026-08-04,draft,user_approved_E2,FCL-H3,FCL-E1-FEDAVG,uda_objective,fixed-checkpoint target delta,pass label audit and step100 evaluation
FCL-E2-CORAL-C5,C1;C2,C5,timeaware_60_170_window_fullgrid,classification_TCN,P0A_round25_sha256_4313c375,canonical_global_CORAL,x_only,none,42,results/iotj_final_classification_le1_20260804/e2_coral_c5,classification_metrics;adaptation_diagnostics,draft,100 steps;Adam5e-4;lambda0.5,11cfbba,pending_implementation,dataset/client_data_c1234src_c5tgt_2080_timeaware_60_170_window_fullgrid,2026-08-04,draft,user_approved_E2,FCL-H3,FCL-E1-FEDAVG,uda_objective,fixed-checkpoint target delta,pass label audit and step100 evaluation
FCL-E2-MMD-C3,C1;C2,C3,timeaware_60_170_window_fullgrid,classification_TCN,P0A_round25_sha256_4313c375,canonical_global_MMD2,x_only,none,42,results/iotj_final_classification_le1_20260804/e2_mmd_c3,classification_metrics;adaptation_diagnostics,draft,100 steps;Adam5e-4;lambda0.5,11cfbba,pending_implementation,dataset/client_data_c1234src_c5tgt_2080_timeaware_60_170_window_fullgrid,2026-08-04,draft,user_approved_E2,FCL-H3,FCL-E1-FEDAVG,uda_objective,fixed-checkpoint target delta,pass label audit and step100 evaluation
FCL-E2-MMD-C4,C1;C2,C4,timeaware_60_170_window_fullgrid,classification_TCN,P0A_round25_sha256_4313c375,canonical_global_MMD2,x_only,none,42,results/iotj_final_classification_le1_20260804/e2_mmd_c4,classification_metrics;adaptation_diagnostics,draft,100 steps;Adam5e-4;lambda0.5,11cfbba,pending_implementation,dataset/client_data_c1234src_c5tgt_2080_timeaware_60_170_window_fullgrid,2026-08-04,draft,user_approved_E2,FCL-H3,FCL-E1-FEDAVG,uda_objective,fixed-checkpoint target delta,pass label audit and step100 evaluation
FCL-E2-MMD-C5,C1;C2,C5,timeaware_60_170_window_fullgrid,classification_TCN,P0A_round25_sha256_4313c375,canonical_global_MMD2,x_only,none,42,results/iotj_final_classification_le1_20260804/e2_mmd_c5,classification_metrics;adaptation_diagnostics,draft,100 steps;Adam5e-4;lambda0.5,11cfbba,pending_implementation,dataset/client_data_c1234src_c5tgt_2080_timeaware_60_170_window_fullgrid,2026-08-04,draft,user_approved_E2,FCL-H3,FCL-E1-FEDAVG,uda_objective,fixed-checkpoint target delta,pass label audit and step100 evaluation
FCL-E2-DANN-C3,C1;C2,C3,timeaware_60_170_window_fullgrid,classification_TCN,P0A_round25_sha256_4313c375,canonical_unconditional_DANN,x_only,none,42,results/iotj_final_classification_le1_20260804/e2_dann_c3,classification_metrics;adaptation_diagnostics,draft,100 steps;Adam5e-4;lambda0.5;GRL+BCE,11cfbba,pending_implementation,dataset/client_data_c1234src_c5tgt_2080_timeaware_60_170_window_fullgrid,2026-08-04,draft,user_approved_E2,FCL-H3,FCL-E1-FEDAVG,uda_objective,fixed-checkpoint target delta,pass label audit and step100 evaluation
FCL-E2-DANN-C4,C1;C2,C4,timeaware_60_170_window_fullgrid,classification_TCN,P0A_round25_sha256_4313c375,canonical_unconditional_DANN,x_only,none,42,results/iotj_final_classification_le1_20260804/e2_dann_c4,classification_metrics;adaptation_diagnostics,draft,100 steps;Adam5e-4;lambda0.5;GRL+BCE,11cfbba,pending_implementation,dataset/client_data_c1234src_c5tgt_2080_timeaware_60_170_window_fullgrid,2026-08-04,draft,user_approved_E2,FCL-H3,FCL-E1-FEDAVG,uda_objective,fixed-checkpoint target delta,pass label audit and step100 evaluation
