claim_id,paper_section,claim_zh,claim_en,evidence_type,canonical_value,experiment_id,result_path,code_commit,asset_sha256,evidence_status,limitation,allowed_wording,forbidden_wording
C1,Abstract; 4.1,B5 分类在五个训练种子下保持稳定。,B5 classification is stable across five training seeds.,direct,Accuracy 0.989118 ± 0.005983; macro-F1 0.989134 ± 0.005960,B5-CLS-S42-46,results/iotj_b5_multiseed_20260724/b5_classification_multiseed_summary.csv,see_bound_result_index,11adaa5202268a206ac01f49fe8ca515716d2e80b9cfc88c5877f3ef6ef925c8,approved,仅覆盖 seeds 42–46 和 C1/C2→C5。,stable across five training seeds,universally robust
C2,Methods; 4.3,由充分统计量重构的 Federated H1 与 pooled source Ridge 达到实用等价。,Federated H1 reconstructed from sufficient statistics is practically equivalent to the pooled source Ridge reference.,direct,4/4 alpha agreement; max prediction difference 6.2532e-08 ppm,IOTJ-H1-FED-EQUIV-20260724,results/iotj_b5_c5_runtime_v5_candidate_20260724/federated_h1/equivalence_decision.json,see_bound_result_index,34b9125cba3e46bf4703ba8c518ff442c87a2456ed53bc1761b1c6e11c21ccee,approved,数值实用等价，不是形式化安全性证明。,practically equivalent,mathematically identical or private
C3,Methods; Discussion,Federated H1 构建期间源端原始行保持本地。,Source raw rows remain local during Federated H1 construction.,qualified,raw_source_rows_transmitted=false,IOTJ-H1-FED-EQUIV-20260724,results/iotj_b5_c5_runtime_v5_candidate_20260724/federated_h1/communication_payload_summary.json,see_bound_result_index,ae0c9a7207942ffe8dd94bf1b711cc6e74c97f6a04dbfba49f7fff1f2eb884ba,approved,统计量未由安全聚合或差分隐私保护。,raw source samples remain local,privacy is guaranteed
C4,Abstract; 4.2,Federated-H1 目标个性化满足相对 all-prior 的预注册 1% 非劣标准。,Federated-H1 target personalization satisfies the preregistered 1% non-inferiority criterion relative to all-prior regression.,direct,paired relative S_CC degradation 0.981637%,B5-REG-MS-20260724,results/iotj_b5_regression_multiseed_20260724/final_regression_decision.json,99cd23e8b4a5f2f103170f1d8a110d6d85febd5e,5bcc33278f1f092494e6c307256fd00842f8d68bc3818fa5ac627c7b42a10fa0,approved,RG2 在 5/5 seeds 的绝对 S_CC 更低。,meets the preregistered 1% non-inferiority criterion,RG1 is more accurate than RG2
C5,Abstract; 4.5,v5 回归核心相对 v4 降低回归参数、bundle 大小和 Pi 延迟。,"Runtime v5 regression core reduces regression parameters, bundle size, and Raspberry Pi latency relative to runtime v4.",direct,"28737→844 params; 2,971,538→289,916 bytes; Pi p50 4.571→3.725 ms",IOTJ-FINAL-SYSTEM-BENCHMARK-20260725,results/iotj_final_system_benchmark_20260725/benchmarks/benchmark_summary.csv,4ccfc489821410ddacb6ad36180694bb953311f1,528f60a0f87d94ecc748001c580e32d5ae67de3bbeb78b2848a1efe5baaf654c,approved,v5 core 不含 QC，比较需标注角色。,reduces implementation overhead under the frozen benchmark,globally faster in every latency statistic
C6,4.4; Discussion,v5 QC2 富集高误差样本，但因 coverage 与 CO guards 失败而未晋级。,Runtime v5 QC2 enriches high-error samples but was not promoted because coverage and CO guards failed.,direct,"HC95 yield 93.75%, accepted RMSE 13.9178 ppm; HC90 CO guard failed",IOTJ-RUNTIME-V5-QC-20260725,results/iotj_b5_c5_runtime_v5_qc_20260725/decision_gate.json,see_bound_result_index,92d6b826a673d2912ae2b5cacc8d4602d0faa0e94a53e562e3509e74d2366da2,approved,accepted RMSE 必须与 yield 同报。,valid candidate not promoted,superior to v4
C7,4.4; 4.5,Runtime v4 保持正式 selective-output baseline。,Runtime v4 remains the formal selective-output baseline.,direct,FORMAL_BASELINE,IOTJ-FINAL-SYSTEM-BENCHMARK-20260725,results/iotj_final_system_benchmark_20260725/paper_tables/table_qc_overall.csv,4ccfc489821410ddacb6ad36180694bb953311f1,a627be74997fedcba22419dec76219150f75ff1bb09b13e2ed3068ffa3e86a32,approved,v5 regression core 与 v4 QC baseline 角色不同。,formal selective-output baseline,legacy or superseded runtime
C8,4.6; Discussion,目标个性化表现出较高 calibration-budget sensitivity。,Target personalization exhibits high calibration-budget sensitivity.,qualified,group-aware S_CC 10.8724→23.9156 ppm when 320→160,IOTJ-LOW-CALIBRATION-SENSITIVITY-S42-20260725,results/iotj_low_calibration_sensitivity_20260725/low_calibration_summary.csv,see_bound_result_index,b110cadf495b0e3a93e61401b3e8d0186fe30223127610ed257a221cac23aa0b,approved,描述性 frozen-method sensitivity，不是新独立 confirmatory test。,high calibration-budget sensitivity,few-window robustness
C9,4.7; Discussion,两种协议的退化方向一致，但幅度部分依赖协议。,Calibration degradation is directionally consistent across protocols while its magnitude is partly protocol-dependent.,qualified,SENSITIVITY_PARTLY_PROTOCOL_DEPENDENT,IOTJ-CALIBRATION-PROTOCOL-HARMONIZATION-20260726,results/iotj_calibration_protocol_harmonization_20260726/decision_gate.json,c30952c3df0b4f2098bf4d42697aaa11a15ab7b0,a263ee49908044121d101e3356827a499d699dcba46b1a6fe10fb91007f42422,approved,相同历史 test 被描述性复用。,directionally consistent; magnitude partly protocol-dependent,protocol-independent magnitude
C10,Protocol; Limitations,历史 240/80 calibration split 是 window-level，非 original-file independent。,The historical 240/80 calibration split is window-level and not original-file independent.,direct,61/61 validation filenames overlap fit,IOTJ-CALIBRATION-PROTOCOL-HARMONIZATION-20260726,results/iotj_calibration_protocol_harmonization_20260726/historical_holdout_audit.json,c30952c3df0b4f2098bf4d42697aaa11a15ab7b0,19e38dd6c22af4c8382d0c7b0ff651bf1e29f70e6a09f535149a4de39001faab,approved,这是 calibration-internal overlap，不是 test-label leakage。,historical window-level holdout,original-file-independent historical split
