experiment_id,source_clients,target_clients,split_protocol,model,checkpoint,DA,calibration,QC,seed,result_path,metrics,status,notes,code_commit,config_path,dataset_path,created_at,evidence_status,provenance,hypothesis_id,baseline_id,ablation_factor,expected_evidence,acceptance_criterion
CAN-V1-MB-A-S2-FEDAVG,C1;C2,C5,canonical_v1_source_train_calibration_test_target_20_80,canonical_classifier,server_latest.pth,none,none,none,42,results/iotj_canonical_v1_method_redesign_20260811/gate2_source_dg/G2_ZERO_SHOT_COMPARISON.csv,classification+representation,completed,reuse only after audit,c54e35f,results/iotj_canonical_v1_method_redesign_20260811/gate2_source_dg/protocol_manifest.json,dataset/iotj_canonical_v1,2026-08-11,draft,G2 immutable manifest,H-A1,,source_count,S2 reference,descriptive
CAN-V1-MB-A-S2-DGP,C1;C2,C5,canonical_v1_source_train_calibration_test_target_20_80,canonical_classifier,G2 round25,GAPS-DG-P lambda_proto=0.05,none,none,42,results/iotj_canonical_v1_method_redesign_20260811/gate2_source_dg,G2 metrics,completed,reuse exact G2 only,c54e35f,results/iotj_canonical_v1_method_redesign_20260811/gate2_source_dg/protocol_manifest.json,dataset/iotj_canonical_v1,2026-08-11,draft,G2 immutable manifest,H-A2,CAN-V1-MB-A-S2-FEDAVG,method,+1pp C5 F1 with source retention,+0.01 F1 and <=0.01 source drop
CAN-V1-MB-A-S4-FEDAVG,C1;C2;C3;C4,C5,derived_canonical_v1_s4_role_view,canonical_classifier,unknown,none,none,none,42,results/iotj_canonical_v1_method_breakthrough_20260811/gate_a_source_diversity/s4_fedavg,classification+representation,registered,fixed 25r LE1 Adam 5e-4,unknown,results/iotj_canonical_v1_method_breakthrough_20260811/gate_a_source_diversity/PRE_RUN_FREEZE.json,dataset/iotj_canonical_v1_s4_role_view,2026-08-11,draft,user freeze,H-A1,CAN-V1-MB-A-S2-FEDAVG,source_count,S4 minus S2 C5 F1,descriptive
CAN-V1-MB-A-S4-DGP,C1;C2;C3;C4,C5,derived_canonical_v1_s4_role_view,canonical_classifier,unknown,GAPS-DG-P lambda_proto=0.05,none,none,42,results/iotj_canonical_v1_method_breakthrough_20260811/gate_a_source_diversity/s4_dgp,classification+representation,registered,exact G2 mechanism,unknown,results/iotj_canonical_v1_method_breakthrough_20260811/gate_a_source_diversity/PRE_RUN_FREEZE.json,dataset/iotj_canonical_v1_s4_role_view,2026-08-11,draft,user freeze,H-A2,CAN-V1-MB-A-S4-FEDAVG,method,+1pp C5 F1 with source retention,+0.01 F1 and <=0.01 source drop
CAN-V1-MB-B0-SOURCE,C1;C2,C5,canonical_v1_target_20_80,canonical_classifier,source fingerprint cad6726e,none,none,none,42,results/iotj_canonical_v1_method_redesign_20260811/gate1_posthoc,classification,completed,reuse G1 source-only,c54e35f,gate1 protocol manifest,dataset/iotj_canonical_v1,2026-08-11,draft,G1 immutable manifest,H-B1,,parameter_scope,zero-shot reference,descriptive
CAN-V1-MB-B1-A0T,C1;C2,C5,canonical_v1_target_20_80,canonical_classifier,857f3954,posthoc target CE full,320 labels,none,42,results/iotj_canonical_v1_method_redesign_20260811/gate1_posthoc/a0t_full,classification+systems,completed,reuse G1 exact endpoint,c54e35f,gate1 run_manifest.json,dataset/iotj_canonical_v1,2026-08-11,draft,G1 immutable manifest,H-B1,CAN-V1-MB-B0-SOURCE,parameter_scope,full adaptation reference,reference
CAN-V1-MB-B2-CLASSIFIER,C1;C2,C5,canonical_v1_target_20_80,canonical_classifier,unknown,posthoc target CE classifier-only,320 labels,none,42,results/iotj_canonical_v1_method_breakthrough_20260811/gate_b_lightweight_posthoc/b2_classifier,classification+retention+systems,registered,100 steps Adam 5e-4,unknown,Gate B freeze,dataset/iotj_canonical_v1,2026-08-11,draft,user freeze,H-B1,CAN-V1-MB-B1-A0T,parameter_scope,within 0.5pp with fewer params,abs F1 gap <=0.005
CAN-V1-MB-B3-PROJHEAD,C1;C2,C5,canonical_v1_target_20_80,canonical_classifier,8af3a4a0,posthoc target CE feat_proj+classifier,320 labels,none,42,results/iotj_canonical_v1_method_redesign_20260811/gate1_posthoc/target_head,classification+retention+systems,completed,reuse G1 exact endpoint,c54e35f,gate1 run_manifest.json,dataset/iotj_canonical_v1,2026-08-11,draft,G1 immutable manifest,H-B1,CAN-V1-MB-B1-A0T,parameter_scope,within 0.5pp with fewer params,abs F1 gap <=0.005
CAN-V1-MB-B4-R4,C1;C2,C5,canonical_v1_target_20_80,canonical_classifier,unknown,posthoc target CE rank4 adapter+classifier,320 labels,none,42,results/iotj_canonical_v1_method_breakthrough_20260811/gate_b_lightweight_posthoc/b4_rank4,classification+retention+systems,registered,fold into standard classifier or not implemented,unknown,Gate B freeze,dataset/iotj_canonical_v1,2026-08-11,draft,user freeze,H-B1,CAN-V1-MB-B1-A0T,parameter_scope,within 0.5pp with fewer params,abs F1 gap <=0.005
CAN-V1-MB-C-AUDIT,C1;C2,C5,canonical_v1_target_20_80,R84_FED_H1,frozen A0T and A4 endpoints,none,320-label calibration cost matrix,frozen QC not executed,42,results/iotj_canonical_v1_method_breakthrough_20260811/gate_c_routing_cost,cost matrix+bootstrap,registered,no training,unknown,Gate C freeze,dataset/iotj_canonical_v1,2026-08-11,draft,frozen A0T/A4 regression streams,H-C1;H-C2,,routing identity,heterogeneous multi-file route cost,multi-file support and grouped CI

