experiment_id,source_clients,target_clients,split_protocol,model,checkpoint,DA,calibration,QC,seed,result_path,metrics,status,notes,code_commit,config_path,dataset_path,created_at,evidence_status,provenance
CANONICAL-V1-A4-C3,C1;C2,C3,source train plus target physical-identity calibration/test approximately 20/80,FedGasBaseModel TCN A4,server_latest_adapted.pth sha256 e2364290ffc7fd9748fe86edb3745dca0eac692165f6c8aba1825728ddcd4414,A4 class/phase-conditioned server alignment,target calibration x/class/phase; no concentration; target CE weight 0,none,42,results/iotj_canonical_v1_final_20260808/classification/CANONICAL-V1-A4-C3,classification_evaluation/classification_metrics.csv,completed,fresh initialization; 25 rounds; LE1; fixed endpoint,f60f28b,docs/experiments/iotj_canonical_v1/CLASSIFICATION_PROTOCOL.md,dataset/iotj_canonical_v1,2026-08-08,canonical audited,run_manifest plus evaluation_manifest
CANONICAL-V1-A4-C4,C1;C2,C4,source train plus target physical-identity calibration/test approximately 20/80,FedGasBaseModel TCN A4,server_latest_adapted.pth sha256 422a49f28331e5486d215a8d34bc9a972dc8fc1992f8b5bf27428329143599c3,A4 class/phase-conditioned server alignment,target calibration x/class/phase; no concentration; target CE weight 0,none,42,results/iotj_canonical_v1_final_20260808/classification/CANONICAL-V1-A4-C4,classification_evaluation/classification_metrics.csv,completed,fresh initialization; 25 rounds; LE1; fixed endpoint,f60f28b,docs/experiments/iotj_canonical_v1/CLASSIFICATION_PROTOCOL.md,dataset/iotj_canonical_v1,2026-08-08,canonical audited,run_manifest plus evaluation_manifest
CANONICAL-V1-A4-C5,C1;C2,C5,source train plus target physical-identity calibration/test approximately 20/80,FedGasBaseModel TCN A4,server_latest_adapted.pth sha256 3965ec8618a2d496804bbc141f49e00b451fce05e9edbefde721f0dd4f912b93,A4 class/phase-conditioned server alignment,target calibration x/class/phase; no concentration; target CE weight 0,none,42,results/iotj_canonical_v1_final_20260808/classification/CANONICAL-V1-A4-C5,classification_evaluation/classification_metrics.csv,completed,fresh initialization; 25 rounds; LE1; fixed endpoint,f60f28b,docs/experiments/iotj_canonical_v1/CLASSIFICATION_PROTOCOL.md,dataset/iotj_canonical_v1,2026-08-08,canonical audited,run_manifest plus evaluation_manifest
CAN-V1-R84-A4-C3,C1;C2,C3,target calibration fit and sealed test evaluation,R84_FED_H1,uses CANONICAL-V1-A4-C3 adapted checkpoint,predicted-class A4 route,per-gas Ridge alpha selected inside calibration,none,42,results/iotj_canonical_v1_final_20260808/regression/C3,regression/cross_target_r84_summary.csv,completed,83 target features plus frozen federated H1; no test selection,e7c942f,results/iotj_canonical_v1_final_20260808/regression/protocol_manifest.json,dataset/iotj_canonical_v1,2026-08-08,canonical audited,regression protocol and sha256 index
CAN-V1-R84-A4-C4,C1;C2,C4,target calibration fit and sealed test evaluation,R84_FED_H1,uses CANONICAL-V1-A4-C4 adapted checkpoint,predicted-class A4 route,per-gas Ridge alpha selected inside calibration,none,42,results/iotj_canonical_v1_final_20260808/regression/C4,regression/cross_target_r84_summary.csv,completed,83 target features plus frozen federated H1; C4 RMSE is slightly worse than 83D,e7c942f,results/iotj_canonical_v1_final_20260808/regression/protocol_manifest.json,dataset/iotj_canonical_v1,2026-08-08,canonical audited,regression protocol and sha256 index
CAN-V1-R84-A4-C5,C1;C2,C5,target calibration fit and sealed test evaluation,R84_FED_H1,uses CANONICAL-V1-A4-C5 adapted checkpoint,predicted-class A4 route,per-gas Ridge alpha selected inside calibration,none,42,results/iotj_canonical_v1_final_20260808/regression/C5,regression/cross_target_r84_summary.csv,completed,C5 methane225 repeat1 retained,e7c942f,results/iotj_canonical_v1_final_20260808/regression/protocol_manifest.json,dataset/iotj_canonical_v1,2026-08-08,canonical audited,regression protocol and sha256 index
CAN-V1-QC-EQUAL-MEAN,C1;C2,C3;C4;C5,calibration-derived thresholds then fixed test evaluation,R84 plus A4 uncertainty and source-prior heads,canonical target checkpoints,frozen equal-mean risk,target-specific calibration p95 normalization,HC90 and HC95 accept/review/reject,42,results/iotj_canonical_v1_final_20260808/evidence_closure/qc,qc_equal_mean_summary.csv plus qc_random_reference.csv,completed,random reference seed 20260804 with 1000 repeats,02e4ae5,docs/experiments/iotj_canonical_v1/EVIDENCE_CLOSURE_PROTOCOL_FREEZE.json,dataset/iotj_canonical_v1,2026-08-09,canonical audited,QC protocol manifest
CAN-V1-R83-R84-ABLATION,C1;C2,C3;C4;C5,same target calibration/test identities,R83_TARGET_ONLY versus R84_FED_H1,canonical target checkpoints,predicted-class A4 route,same frozen alpha grid,none,42,results/iotj_canonical_v1_final_20260808/evidence_closure/fedridge_ablation,canonical_83d_vs_84d.csv,completed,aggregate gain is mixed across targets,02e4ae5,docs/experiments/iotj_canonical_v1/EVIDENCE_CLOSURE_PROTOCOL_FREEZE.json,dataset/iotj_canonical_v1,2026-08-09,canonical audited,ablation CSV and r83 models
CAN-V1-PI5-FINAL,C1;C2,C5,not applicable deployment benchmark,A4 plus R84_FED_H1,formal package sha256 52328c9cd9f8c9d9eba2f700a35f20f488070df2919fba6fa94e8a77a5dc1c31,none,none,frozen equal-mean QC,42,results/iotj_canonical_v1_final_20260808/pi5_benchmark,pi5_benchmark_summary.csv,completed,10000 windows; batch1; four threads; FINAL_DEPLOYED_RUNTIME,f3d1577,results/iotj_canonical_v1_final_20260808/deployment_package/package_manifest.json,dataset/iotj_canonical_v1,2026-08-09,canonical audited,package manifest plus benchmark environment
CANONICAL-V1-A0T-C3,C1;C2,C3,same canonical C3 calibration labels intended,FedGasBaseModel target CE only,none,none,target CE only,none,42,results/iotj_canonical_v1_final_20260808/a0t_equal_label/classification/CANONICAL-V1-A0T-C3,09_a0t_equal_label.csv,blocked,preregistered only; no metrics; execution requires explicit new authorization,0db9dac,results/iotj_canonical_v1_final_20260808/a0t_equal_label/A0T_PRE_RUN_FREEZE.json,dataset/iotj_canonical_v1,2026-08-09,missing required fairness evidence,pre-run freeze plus BLOCKED_NOT_RUN evidence row
