experiment_id,source_clients,target_clients,split_protocol,model,checkpoint,DA,calibration,QC,seed,result_path,metrics,status,notes,code_commit,config_path,dataset_path,evidence_status,provenance
CAN-V1-MB-P1-S4-FEDAVG-S41,C1;C2;C3;C4,C5,canonical-v1-S4-role-view,FedGasBaseModel,fixed-round25,none,none,none,41,results/iotj_canonical_v1_method_breakthrough_20260811/phase1_s4_dg_multiseed/seed_41/fedavg,S4_DG_MULTI_SEED.csv,audited,C5 unavailable to training,1737acd,PRE_RUN_FREEZE.json,dataset/iotj_canonical_v1_s4_role_view,approved,checkpoint and final hash indexes PASS
CAN-V1-MB-P1-S4-DGP-S41,C1;C2;C3;C4,C5,canonical-v1-S4-role-view,FedGasBaseModel,fixed-round25,GAPS-DG-P,none,none,41,results/iotj_canonical_v1_method_breakthrough_20260811/phase1_s4_dg_multiseed/seed_41/gaps_dg_p,S4_DG_MULTI_SEED.csv,audited,lambda_proto=0.05 and no search,1737acd,PRE_RUN_FREEZE.json,dataset/iotj_canonical_v1_s4_role_view,approved,checkpoint and final hash indexes PASS
CAN-V1-MB-P1-S4-FEDAVG-S42,C1;C2;C3;C4,C5,canonical-v1-S4-role-view,FedGasBaseModel,Gate-A-fedavg-round25,none,none,none,42,results/iotj_canonical_v1_method_breakthrough_20260811/gate_a_source_diversity/fedavg,S4_DG_MULTI_SEED.csv,audited,immutable Gate A reuse,4b844f8,gate_a_source_diversity/protocol_manifest.json,dataset/iotj_canonical_v1_s4_role_view,approved,Gate A and Phase-1 final hashes PASS
CAN-V1-MB-P1-S4-DGP-S42,C1;C2;C3;C4,C5,canonical-v1-S4-role-view,FedGasBaseModel,Gate-A-gaps-dg-p-round25,GAPS-DG-P,none,none,42,results/iotj_canonical_v1_method_breakthrough_20260811/gate_a_source_diversity/gaps_dg_p,S4_DG_MULTI_SEED.csv,audited,immutable Gate A reuse,4b844f8,gate_a_source_diversity/protocol_manifest.json,dataset/iotj_canonical_v1_s4_role_view,approved,Gate A and Phase-1 final hashes PASS
CAN-V1-MB-P1-S4-FEDAVG-S43,C1;C2;C3;C4,C5,canonical-v1-S4-role-view,FedGasBaseModel,fixed-round25,none,none,none,43,results/iotj_canonical_v1_method_breakthrough_20260811/phase1_s4_dg_multiseed/seed_43/fedavg,S4_DG_MULTI_SEED.csv,audited,C5 unavailable to training,1737acd,PRE_RUN_FREEZE.json,dataset/iotj_canonical_v1_s4_role_view,approved,checkpoint and final hash indexes PASS
CAN-V1-MB-P1-S4-DGP-S43,C1;C2;C3;C4,C5,canonical-v1-S4-role-view,FedGasBaseModel,fixed-round25,GAPS-DG-P,none,none,43,results/iotj_canonical_v1_method_breakthrough_20260811/phase1_s4_dg_multiseed/seed_43/gaps_dg_p,S4_DG_MULTI_SEED.csv,audited,lambda_proto=0.05 and no search,1737acd,PRE_RUN_FREEZE.json,dataset/iotj_canonical_v1_s4_role_view,approved,checkpoint and final hash indexes PASS
CAN-V1-MB-P2-I0-A0T-B20-S42,C1;C2,C5,canonical-v1-B20-320,FedGasBaseModel,S2-FedAvg-round25,Full-A0T,full-320,none,42,results/iotj_canonical_v1_method_breakthrough_20260811/phase2_dg_commissioning/I0/B20,DG_COMMISSIONING_BRIDGE.csv,audited,exact immutable G1 reuse,0d0e5f2,phase2/PRE_RUN_FREEZE.json,dataset/iotj_canonical_v1,approved,checkpoint source-state and hash audit PASS
CAN-V1-MB-P2-I0-A0T-B05-S42,C1;C2,C5,canonical-v1-B05-80-nested,FedGasBaseModel,S2-FedAvg-round25,Full-A0T,full-80,none,42,results/iotj_canonical_v1_method_breakthrough_20260811/phase2_dg_commissioning/I0/B05,DG_COMMISSIONING_BRIDGE.csv,audited,fresh posthoc from original I0 source,0d0e5f2,phase2/PRE_RUN_FREEZE.json,dataset/iotj_canonical_v1,approved,checkpoint source-state and hash audit PASS
CAN-V1-MB-P2-I1-A0T-B20-S42,C1;C2;C3;C4,C5,canonical-v1-S4-role-view-B20-320,FedGasBaseModel,S4-FedAvg-round25,Full-A0T,full-320,none,42,results/iotj_canonical_v1_method_breakthrough_20260811/phase2_dg_commissioning/I1/B20,DG_COMMISSIONING_BRIDGE.csv,audited,fresh posthoc from original I1 source,0d0e5f2,phase2/PRE_RUN_FREEZE.json,dataset/iotj_canonical_v1_s4_role_view,approved,checkpoint source-state and hash audit PASS
CAN-V1-MB-P2-I1-A0T-B05-S42,C1;C2;C3;C4,C5,canonical-v1-S4-role-view-B05-80-nested,FedGasBaseModel,S4-FedAvg-round25,Full-A0T,full-80,none,42,results/iotj_canonical_v1_method_breakthrough_20260811/phase2_dg_commissioning/I1/B05,DG_COMMISSIONING_BRIDGE.csv,audited,fresh posthoc from original I1 source,0d0e5f2,phase2/PRE_RUN_FREEZE.json,dataset/iotj_canonical_v1_s4_role_view,approved,checkpoint source-state and hash audit PASS
