component,method,training_data,C1_raw_used,C2_raw_used,C5_calibration_used,C5_test_used,pooled_source_training,federated_training,target_local_training,final_runtime_dependency,evidence_file,evidence_line_or_function,claim_boundary
"classifier_route","Flower classification plus server DA; logits -> softmax -> predicted class","C1/C2 local classifier training; target calibration participates in frozen server-side DA outside this regression audit","yes_local_window_training","yes_local_window_training","yes_server_DA_and_inference","yes_inference_only","no","yes_real_Flower_classification","no","yes_route_dependency; final checkpoint pending P0","gaps_flower/evaluate_regression_pipeline.py; scripts/build_iotj_c5_regression_inputs.py","collect_records L460-L487; build_inputs L148-L218","Federated claim applies to classification. This row does not make the downstream regression heads federated."
"R0_source_R3aK16_reference","Neural source regression checkpoint produced by sample-weighted FedAvg-style checkpoint aggregation","C1 and C2 are trained separately by the intended producer; local model states are aggregated; formal suite only reloads the frozen checkpoint","yes_local_training_by_producer","yes_local_training_by_producer","yes_inference_only","yes_inference_only","no_raw_pooling_in_intended_producer","yes_offline_FedAvg_checkpoint_aggregation; no_Flower_transport_proven","no","no_numerical_R4_edge; yes_input_builder_and_legacy_runtime_plumbing","gaps_flower/regression_client.py; gaps_flower/regression_server.py; scripts/build_iotj_c5_regression_inputs.py","client main L180-L206; aggregate_regression_checkpoints L165-L175 and L313-L335; build_inputs L148-L218","Call it an offline FedAvg source regression reference, not a real Flower regression run and not the final R4 head. Exact historical checkpoint metadata was not revalidated in this worktree."
"H1_source_ridge_Ethanol","Per-gas standardized closed-form Ridge","Pooled C1+C2 Ethanol train; alpha selected on pooled C1+C2 Ethanol calibration; refit on train+calibration","yes_processed_window_tensor","yes_processed_window_tensor","yes_prediction_only_in_H8","yes_prediction_only","yes_same_process","no","no","yes_current_formal_R4_and_QC; final_bundle_pending","run_source_augmented_target_ridge_eval.py; run_regression_head_ablation.py","fit_source_heads L116-L152; build_oracle_rows L180-L199; fit_select_refit L299-L318","Centrally pooled multi-source reference; not client-local and not federated. Original raw sensor files are not read; prebuilt window arrays are."
"H1_source_ridge_CO","Per-gas standardized closed-form Ridge","Pooled C1+C2 CO train; alpha selected on pooled C1+C2 CO calibration; refit on train+calibration","yes_processed_window_tensor","yes_processed_window_tensor","yes_prediction_only_in_H8","yes_prediction_only","yes_same_process","no","no","yes_current_formal_R4_and_QC; final_bundle_pending","run_source_augmented_target_ridge_eval.py; run_regression_head_ablation.py","fit_source_heads L116-L152; CLASS_NAMES L23-L24; fit_select_refit L299-L318","Centrally pooled multi-source reference; not client-local and not federated."
"H1_source_ridge_Ethylene","Per-gas standardized closed-form Ridge","Pooled C1+C2 Ethylene train; alpha selected on pooled C1+C2 Ethylene calibration; refit on train+calibration","yes_processed_window_tensor","yes_processed_window_tensor","yes_prediction_only_in_H8","yes_prediction_only","yes_same_process","no","no","yes_current_formal_R4_and_QC; final_bundle_pending","run_source_augmented_target_ridge_eval.py; run_regression_head_ablation.py","fit_source_heads L116-L152; CLASS_NAMES L23-L24; fit_select_refit L299-L318","Centrally pooled multi-source reference; not client-local and not federated."
"H1_source_ridge_Methane","Per-gas standardized closed-form Ridge","Pooled C1+C2 Methane train; alpha selected on pooled C1+C2 Methane calibration; refit on train+calibration","yes_processed_window_tensor","yes_processed_window_tensor","yes_prediction_only_in_H8","yes_prediction_only","yes_same_process","no","no","yes_current_formal_R4_and_QC; final_bundle_pending","run_source_augmented_target_ridge_eval.py; run_regression_head_ablation.py","fit_source_heads L116-L152; CLASS_NAMES L23-L24; fit_select_refit L299-L318","Centrally pooled multi-source reference; not client-local and not federated."
"H2_source_per_gas_mlp_Ethanol","Per-gas StandardScaler + shallow MLPRegressor","Pooled C1+C2 Ethanol train; hidden/alpha selected on pooled C1+C2 Ethanol calibration; refit on train+calibration","yes_processed_window_tensor","yes_processed_window_tensor","yes_prediction_only_in_H8","yes_prediction_only","yes_same_process","no","no","yes_current_formal_R4_and_QC; final_bundle_pending","run_source_augmented_target_ridge_eval.py; run_source_lightweight_regression_head_ablation.py","fit_source_heads L116-L152; fit_select_refit_mlp L142-L171","Centrally pooled multi-source neural reference; not a federated MLP."
"H2_source_per_gas_mlp_CO","Per-gas StandardScaler + shallow MLPRegressor","Pooled C1+C2 CO train; hidden/alpha selected on pooled C1+C2 CO calibration; refit on train+calibration","yes_processed_window_tensor","yes_processed_window_tensor","yes_prediction_only_in_H8","yes_prediction_only","yes_same_process","no","no","yes_current_formal_R4_and_QC; final_bundle_pending","run_source_augmented_target_ridge_eval.py; run_source_lightweight_regression_head_ablation.py","fit_source_heads L116-L152; fit_select_refit_mlp L142-L171","Centrally pooled multi-source neural reference; not a federated MLP."
"H2_source_per_gas_mlp_Ethylene","Per-gas StandardScaler + shallow MLPRegressor","Pooled C1+C2 Ethylene train; hidden/alpha selected on pooled C1+C2 Ethylene calibration; refit on train+calibration","yes_processed_window_tensor","yes_processed_window_tensor","yes_prediction_only_in_H8","yes_prediction_only","yes_same_process","no","no","yes_current_formal_R4_and_QC; final_bundle_pending","run_source_augmented_target_ridge_eval.py; run_source_lightweight_regression_head_ablation.py","fit_source_heads L116-L152; fit_select_refit_mlp L142-L171","Centrally pooled multi-source neural reference; not a federated MLP."
"H2_source_per_gas_mlp_Methane","Per-gas StandardScaler + shallow MLPRegressor","Pooled C1+C2 Methane train; hidden/alpha selected on pooled C1+C2 Methane calibration; refit on train+calibration","yes_processed_window_tensor","yes_processed_window_tensor","yes_prediction_only_in_H8","yes_prediction_only","yes_same_process","no","no","yes_current_formal_R4_and_QC; final_bundle_pending","run_source_augmented_target_ridge_eval.py; run_source_lightweight_regression_head_ablation.py","fit_source_heads L116-L152; fit_select_refit_mlp L142-L171","Centrally pooled multi-source neural reference; not a federated MLP."
