"priority","rank","evidence_gap","current_evidence","paper_value","claim_enabled","minimum_scope","prerequisite","estimated_compute_or_device_cost","estimated_engineering_cost","reuse_or_piggyback","main_text_role","stop_rule"
"P0","1","B5 formal-topology round-2 parity blocker","B2 OFF/ON exact; B5 fails in round 2 and failed evidence is preserved","Critical gating value; enables every formal confirmation claim","A single frozen revision can safely run both B2 and B5 confirmation","Locate first divergence; add RED regression test; apply minimum fix; rerun focused tests and B2/B5 formal smokes","No algorithm/model/loss/data/hyperparameter change","About 0.5-1.5 three-host device-hours for required post-fix smokes; no paper metric produced directly","About 0.5-2 engineering days; high uncertainty until first divergence is isolated","Cannot piggyback; must precede all formal runs","Methods/evidence integrity note, not a result table","Stop on any numeric-path change, parity delta, schema mismatch, or unresolved first divergence"
"P0","2","B2/B5 five-seed formal classification confirmation","Only historical seed-42 screening and three seed-42 appendix directions exist","Highest algorithm evidence value","Mean, sample std, all seeds, paired-seed B2-B5 difference, NLL/ECE/per-class recall","10 canonical runs: B2/B5 x seeds 42-46, 25 rounds, frozen order and one commit/archive","P0 blocker closed; B2/B5 formal smokes pass; final confirmation freeze and preflight pass","Lower bound about 13.4 h sequential from 193.07 s/round B2 pilot; reserve 14-24 h three-host wall time without failures","About 0.5 day launch/monitoring plus 0.5 day sealed summary and statistical analysis","Yes; collect all P0 system metrics in the same runs","Main classification table and uncertainty analysis","Fail closed on leakage, test selection, failed attempt, host revision mismatch, missing sidecar, or noncanonical run"
"P0","3","Formal 25-round communication/time/resource summary","B2 real-topology evidence covers only two rounds","Very high IoT-J system value","Per-round and 25-round application bytes, timing decomposition, Pi/PC training time, RSS/CPU and Pi temperature across formal runs","Summarize the exact 10 canonical confirmation runs; no separate retraining","Frozen instrumentation and accepted canonical attempts","Near-zero additional training compute if captured synchronously; 2-4 h summary/validation","About 0.5 engineering day for sealed aggregation and tables","Full piggyback on P0 rank 2; do not rerun training","Main system table; per-round details in appendix","Do not extrapolate missing rounds or mix failed attempts; transport remains not collected"
"P1","4","Low-calibration protocol and tooling preparation","Formal regression/QC exists only at current full calibration setting; no frozen budget contract","High enabling value with no premature formal claim","Reproducible 12/24/48/80/Full experiment ready to run once predictions freeze","Budget definitions; immutable sample-key manifest; class/concentration stratification; multi-seed contract; scripts/tests/templates","May proceed now; must not open new test ranking","No formal training compute; local tests and small exploratory pilot only","About 0.5-1 engineering day","Prevents later reruns; exploratory historical checkpoint results remain labeled pilot","Methods/protocol, not result table yet","Stop if sample keys differ across methods or test labels influence sampling/selection"
"P1","5","Formal C5 low-calibration efficiency batch","No formal paired repeated budget curve under final classifier stream","High algorithm/deployment value","RMSE/NRMSE, QC yield/nonreject coverage, Ridge/MLP fit time and uncertainty versus calibration budget","Budgets 12/24/48/80/Full; 30-50 paired repeats with shared stratified sample keys","Final classifier checkpoint and prediction stream frozen after P0","Roughly 2-8 ECS hours depending on MLP fits, plus analysis; refine with tooling pilot","About 0.5-1 day execution/analysis","Reuses frozen prediction stream and P1 rank 4 tooling","Main or major supplementary calibration-efficiency table","No formal output if prediction stream changes, sample-key manifest changes, or any test-based selection occurs"
"P1","6","Final C5 deployment bundle","Current evidence does not yet freeze classifier, Ridge/MLP assets, selector and QC into one final bundle","High system closure value","A reproducible deployable C5 artifact with schema, normalization, policy and SHA-256","Classifier; Ridge/MLP; frozen selection/QC; feature schema; normalization; class map; manifest; hashes","P0 final classifier/policy decision and low-calibration policy boundary fixed","Less than 1 h packaging compute","About 0.5-1 engineering day","Feeds parity and benchmarks; no retraining","Methods/system implementation plus artifact table","Fail closed on missing asset, silent fallback, old R3aK16-only runtime, schema or checkpoint mismatch"
"P1","7","1360-row offline/runtime parity","No final-bundle parity report exists","Critical deployment validity value","Predicted class, expert/profile and QC exact; max ppm error <=1e-6","All 1360 C5 test windows; field-by-field report","Final C5 bundle available","Usually minutes on PC plus one validation pass","About 0.5 engineering day","Directly reuses final bundle and frozen test stream","Main system validity statement; detailed report in appendix","Any class/expert/QC mismatch or ppm delta >1e-6 blocks benchmarks and deployment claims"
"P1","8","Pi/PC inference latency and resource benchmark","Training-side pilot resources exist; inference p50/p95/p99 and final runtime RSS do not","High IoT-J deployment value","Batch=1 and batch=32 latency/throughput, load time, stage timing, RSS and asset sizes","30 warm-up; >=100 measurements on PC and Pi; frozen bundle","Parity passed","About 2-4 device-hours including setup and repeats","About 0.5 engineering day for execution and tables","Reuses final bundle; no training","Main edge-system table","Do not mix training RSS with runtime RSS; stop on bundle/hash mismatch or thermal throttling without annotation"
"P2","9","Availability: normal, C2 absent, disconnect/rejoin","No independent availability experiment","Medium system credibility; rejoin scenario has the highest value","Training continuation, reconnection success, wall time and final classification metrics under availability faults","Prefer all three scenarios; at minimum disconnect rounds 8-12 and rejoin at 13","P0 frozen formal controller and accepted availability protocol","About 4-8 three-host hours for three 25-round scenarios at current scale","About 0.5-1 day execution/analysis","Cannot mix with main accuracy table; may reuse frozen code/archive","One concise main-text robustness row; full details in appendix","Abort on uncontrolled code revision or if availability run contaminates canonical confirmation registry"
"P2","10","Raspberry Pi long-run stability","Only a two-round resource trace exists","Medium operational value; useful but lower than confirmation/parity","Frame/window/inference/QC success, reconnect/crash counts, RSS drift and temperature stability","1 h minimum; 6 h optional/reviewer-driven","Final runtime bundle and parity passed","1 h minimum exclusive Pi time; 6 h adds 5 h with no algorithm training","About 0.5 day setup/analysis","Uses final runtime; independent of training runs","1 h summary in main/supplement; 6 h detail in appendix if available","Stop and preserve evidence on crash, thermal throttling, schema error or sustained input loss; do not hide failed run"
